id;nom_canditat;prenom_candidat;date_naissance_candidat;email_candidat
1;lest;cougar;2024-05-23;regarding zowie viciously
2;more wildly yet;boastfully;2024-05-24;receiver frankly boudoir
3;array;incidentally finally;2024-05-24;whenever brr astride
4;blah how;when whoa behave;2024-05-24;personal easily
5;bug neatly;about tough foolishly;2024-05-24;blood fantastic
6;um of;democracy;2024-05-24;talkative frightened underneath
7;miserably high-rise;bless;2024-05-24;like
8;woefully card fabulous;deceivingly;2024-05-24;several total absentmindedly
9;mess;and woot error;2024-05-24;voluntarily mercerize
10;following tall gadzooks;royal;2024-05-24;before gently
