id;nom_etu;nom_jeune_fille_etu;prenom_etu;statut_marital;regime;profession;adresse_etu;tel_etu;email_etu;adresse_parent;tel_parent;email_parent;nom_parent;prenom_parent;handicap_yn;photo;ordi_perso_yn;derniere_modification;email_user
1;ugh forked;bulldozer although without;quintessential;how sweep partially;24749;whose frantically;why nondisclosure;ack shyly;fooey vaguely;viciously;viciously;authorization unbearably predecease;deter gee;squish awaken annual;22907;gadzooks;1340;2024-05-23;perfume yuck
2;hairy;engineer sharply into;golden midst abscond;despite;32541;continually selfishly jaunty;yearningly uniform;enormously;whose nicely;scratchy beam;locket cabin;medium unwitting;ugh;size widen;13258;ha till cheerfully;18021;2024-05-24;astride
3;spectacular stealthily as;beautifully comportment;aha nimble;refer yahoo;15382;or promptly;invigilate jaunty absent;once whup;hearsay skylight fully;fortunately lasting discharge;unfortunately;before;yearly;gran miserably after;29938;teletype;4828;2024-05-24;wetly
4;voluntarily failing often;hypothermia resolve atone;opponent jellyfish;bind;1766;despise of why;youthfully excitable;inasmuch aboard;certification whereas;suspiciously through;atop;luxurious improvement;coarsen unnecessarily;courageously very;13243;less;5733;2024-05-23;keenly kindly
5;ouch after;searchingly;dine whether whereas;up wherever;7205;during;like shock;except anti recapitulate;via huzzah;as;ouch;underachieve selfishly unroll;ew anti why;broadly;9345;participation drat;22395;2024-05-23;winner phew on
6;between troop;post big-hearted whoa;peninsula niece robust;blurt hibernate during;10859;overconfidently sad;before owlishly naturalisation;damaged oh kissingly;fooey;yum against;elegantly inside bless;although;graft underneath;blah;2300;gifted secure;24423;2024-05-24;quirkily trained
7;bleakly;enlightened;itemise lest swiftly;pamphlet darkness;31506;modulo rival;award;kiwi terrific profitable;wholly;aha forwards from;tan yet ah;yet now tofu;terribly;impressive;22197;until neuron next;5239;2024-05-24;coolly since
8;wherever finally;barricade eek while;tether;likewise;14055;whoa crossly;regular;lest jaggedly;overawe plus;worthless;fooey filth;correctly monthly;post;eventually lightly;27637;hence fooey nor;21832;2024-05-24;lawmaker terribly rapidly
9;keyboarding whoa oof;beyond;gadzooks seriously candidacy;per conspiracy sharply;20450;originality aw;digitalize when;meh furthermore;unaccountably eek;lovable;ephemeris alter dump;while though;sans;meager;11512;times aha loftily;2349;2024-05-24;upset vice scrawl
10;trim;sympathetically;excepting margin faithful;deeply;16855;whenever;green prance;awkwardly but;association;yet whoa batch;how;conversation;frightfully sculpture unto;coordinator;31210;which;29259;2024-05-24;neglect
