id;libelle_programmation;date_debut;date_fin;ouvert_yn;email_user
1;broadly indeed;2024-05-18;2024-05-17;354;upward supposing
2;where before slumber;2024-05-18;2024-05-18;28662;since gybe round
3;clue determination gazebo;2024-05-17;2024-05-18;32199;by down bah
4;overawe modulo;2024-05-17;2024-05-18;4225;pinafore generally fete
5;upbeat brr;2024-05-18;2024-05-17;5986;diluted giving
6;shoehorn hm courageously;2024-05-18;2024-05-18;27204;while
7;briskly on opposition;2024-05-18;2024-05-18;16057;immediately clank
8;decisive bitter;2024-05-18;2024-05-18;25405;laborer ick haunting
9;sentimental big a;2024-05-17;2024-05-18;27518;jubilantly overdue
10;without but mmm;2024-05-17;2024-05-18;9576;likewise because humming
