id;inscription_demarree_yn;date_demarrage_inscription;inscription_annulee_yn;date_annulation_inscription;apte_yn;date_visite_medicale;beneficiaire_crousyn;date_remise_quitus_crous;nouveau_code_buyn;quitus_buyn;date_remise_quitus_bu;exporter_buyn;frais_obligatoires_payes_yn;date_paiement_frais_obligatoires;numero_quitus_crous;carte_eturemise_yn;carte_dupremise_yn;date_remise_carte_etu;date_remise_carte_dup;inscrit_administrativement_yn;date_inscription_administrative;derniere_modification;inscrit_online_yn;email_user
1;16571;2024-05-24T06:04:50;32034;2024-05-23T21:27:50;16916;2024-05-23T22:48:06;7462;2024-05-24T04:15:14;25446;22557;2024-05-23T21:02:24;17010;21074;2024-05-23T21:44:38;17486;72;28959;2024-05-24T04:11:25;8285;27064;2024-05-24T00:06:05;2024-05-23T22:38:04;26055;beam defenseless zowie
2;26100;2024-05-23T20:34:23;32420;2024-05-24T01:03:18;30994;2024-05-23T21:30:02;18970;2024-05-24T06:17:30;14362;20346;2024-05-24T01:39:50;25822;20273;2024-05-24T09:20:25;23043;27431;13591;2024-05-24T11:17:01;13254;7962;2024-05-23T20:00:36;2024-05-24T11:16:36;29703;psst violet ugh
3;23423;2024-05-24T08:41:07;8582;2024-05-24T14:41:31;3851;2024-05-24T15:58:26;20419;2024-05-24T06:35:28;11496;31718;2024-05-24T12:59:43;21269;21657;2024-05-24T18:05:34;6859;18622;12813;2024-05-24T13:15:30;10261;31268;2024-05-23T22:45:07;2024-05-23T19:10:13;13917;satisfied cashew reclassify
4;12470;2024-05-24T15:16:42;18544;2024-05-24T15:41:00;15888;2024-05-24T02:40:55;5627;2024-05-24T09:56:36;12218;5881;2024-05-24T11:33:00;5443;10112;2024-05-24T13:46:03;5881;6340;7973;2024-05-24T01:38:17;27592;4058;2024-05-24T17:11:57;2024-05-23T22:45:45;1270;but wholly
5;18100;2024-05-24T13:25:42;2650;2024-05-23T23:14:52;3436;2024-05-24T15:21:14;24082;2024-05-23T19:01:37;12535;13580;2024-05-24T11:56:35;9590;7830;2024-05-24T12:28:08;5203;32751;20068;2024-05-24T05:53:09;7908;30789;2024-05-24T17:27:42;2024-05-23T19:40:36;27531;yuck scapegoat
6;1018;2024-05-24T02:20:57;17102;2024-05-24T04:46:25;22775;2024-05-24T03:59:32;2604;2024-05-24T13:27:22;1325;14305;2024-05-23T19:51:20;13736;3851;2024-05-23T22:29:35;8444;22;31750;2024-05-23T22:45:19;181;17072;2024-05-24T13:52:51;2024-05-24T00:17:36;17907;supposing beverage
7;22712;2024-05-23T22:54:17;30940;2024-05-24T11:31:20;7785;2024-05-24T16:07:09;31000;2024-05-24T03:59:35;434;4600;2024-05-24T03:32:14;5998;21603;2024-05-23T23:02:09;109;13217;26405;2024-05-23T22:13:50;14162;31659;2024-05-24T04:55:59;2024-05-24T09:01:10;8349;beef opposite career
8;528;2024-05-24T12:36:10;8433;2024-05-24T14:55:12;26665;2024-05-24T15:59:38;3491;2024-05-24T17:40:05;3995;20314;2024-05-24T05:14:15;19264;28458;2024-05-24T08:22:10;14217;2591;27054;2024-05-23T21:56:32;30225;25637;2024-05-24T11:41:41;2024-05-23T22:11:41;22006;near gratefully
9;6016;2024-05-24T10:25:12;6980;2024-05-24T14:48:12;16828;2024-05-23T19:49:05;2926;2024-05-24T04:23:26;10094;23924;2024-05-24T08:40:36;21099;17077;2024-05-23T23:16:54;28088;1809;12217;2024-05-24T14:51:36;19524;21283;2024-05-24T05:35:20;2024-05-23T23:36:13;26663;bleakly bright an
10;3881;2024-05-24T14:33:18;10797;2024-05-23T20:08:33;32415;2024-05-24T03:26:16;30564;2024-05-23T23:43:50;9188;1860;2024-05-24T03:20:32;23889;21182;2024-05-24T05:40:55;23887;27097;22815;2024-05-24T17:32:45;4264;14012;2024-05-23T19:21:58;2024-05-24T18:05:42;30894;forthright
