id;titre_co_encadreur;nom_enseignant;prenom_enseignant;email_enseignant;telephone_enseignant;titres_id;adresse;numero_poste;photo_enseignant;photo_enseignant_content_type
1;muted bankroll among;gestate;bravely furthermore;aw till;yearly ugh drat;22334;hot;5526;../fake-data/blob/hipster.png;image/png
2;cooperative snuggle;wish beneath;duh briefly trouser;zowie on;harmless refresh;31846;octagon massive until;18432;../fake-data/blob/hipster.png;image/png
3;blah;gadzooks;eek irritating among;finally vivaciously;once;29991;farmer minus;21152;../fake-data/blob/hipster.png;image/png
4;besides;carefully easily;if upward;out;musty an;13662;ha athwart face;14112;../fake-data/blob/hipster.png;image/png
5;ah pfft gadzooks;once vocalize sad;reception talkative;violently obediently psst;consequently;29353;boo willfully;6869;../fake-data/blob/hipster.png;image/png
6;pen front alongside;nor;battalion;stark red;phooey;23455;suburban;23448;../fake-data/blob/hipster.png;image/png
7;beneath past till;bobcat urgently victoriously;whose woot soon;essay yuck;afflict immediately wearily;27662;disengage while;2434;../fake-data/blob/hipster.png;image/png
8;inasmuch;since;strudel meh;excommunicate phooey;considering gladly;7097;abaft via before;27053;../fake-data/blob/hipster.png;image/png
9;literature pink;coal;pfft;clear-cut until gracefully;nudge;15952;peep;26445;../fake-data/blob/hipster.png;image/png
10;since coinsurance judgementally;honeydew;gummy;plow klutzy;why;32607;coinsurance heavily ideate;14936;../fake-data/blob/hipster.png;image/png
