id;code_etu;ine;code_bu;email_ugb;date_naiss_etu;lieu_naiss_etu;sexe;num_doc_identite;assimile_yn;actif_yn
1;membre de l’équipe enfiler;spécialiste devant répartir;quasiment à l'instar de vers;pendant que contre;2024-06-25;alors que outre population du Québec;que à côté de;comme;false;true
2;euh;désagréable assez;tchou tchouu miam;adversaire arrière;2024-06-25;ha ha ah expédier;zzzz tout à fait;rectorat commissionnaire;true;false
3;cocorico trop candide;quoique corps enseignant;membre titulaire charger;vroum membre du personnel jamais;2024-06-24;âcre sombre émérite;cocorico chut;venger pour;true;true
4;pendant que au dépens de;démarrer apparaître;débarrasser;triste au point que guide;2024-06-25;tendre;smack affirmer plouf;à moins de;false;false
5;rédaction neutre;badaboum responsable présidence;sale prononcer pin-pon;mairie proche de triathlète;2024-06-25;dans la mesure où;ouch coupable sitôt que;du fait que pff;true;false
6;mature au point que;nonobstant concurrence défiler;quitte à référer;même si longtemps;2024-06-25;clac de crainte que jusqu’à ce que;groin groin;en guise de;true;false
7;rejeter;hors toc commissionnaire;collègue tic-tac;camarade;2024-06-24;tandis que membre titulaire piquer;pin-pon adepte plic;après que cadre;true;true
8;intégrer touchant étant donné que;adepte baisser au-dehors;envers;athlète hé;2024-06-25;de façon à ce que gueuler;enfin;personnel professionnel;true;false
9;communauté étudiante toc;gratis;contre personnel professionnel autrefois;membre de l’équipe confier expédier;2024-06-25;à partir de autour;en bas de;super atchoum membre titulaire;true;false
10;servir;direction lier;conseil municipal crac alors que;perplexe quoique;2024-06-25;drelin dès que;loin de recta approximativement;après commis;true;true
