id;nom_etu;nom_jeune_fille_etu;prenom_etu;statut_marital;regime;profession;adresse_etu;tel_etu;email_etu;adresse_parent;tel_parent;email_parent;nom_parent;prenom_parent;handicap_yn;photo;ordi_perso_yn;derniere_modification;email_user
1;miam extra;actionnaire afin que sous couleur de;perplexe;vu que redescendre dorénavant;24749;alors que environ;tandis que conseil d’administration;psitt au-delà;clac apparemment;certainement;certainement;adepte là-haut cueillir;rouler ouch;inciter perdre aigre;false;oups;true;2024-06-24;émettre aïe
2;habile;gestionnaire alentour à raison de;gai au-dedans de dire;à côté de;32541;presque toujours insipide;vraiment téméraire;autrement;alors que cependant;rectangulaire boire;secouriste jeune enfant;magenta terne;miaou;lectorat applaudir;true;pin-pon assez mieux;false;2024-06-25;outre
3;serviable ça pour que;également partenaire;glouglou mature;édifier dring;15382;pourvu que jadis;falloir insipide chez;à condition que applaudir;juriste lectorat fort;entièrement intrépide nourrir;loin;de façon à ce que;toutefois;prestataire de services auparavant que;false;personnel professionnel;true;2024-06-25;précisément
4;en vérité à l'égard de depuis;membre titulaire célébrer tomber;équipe de recherche commis;dîner;1766;détruire au moyen de tandis que;vraisemblablement émérite;du moment que avant;biathlète aussitôt que;contre en dehors de;pendant;loufoque membre titulaire;construire outre;recta certainement;true;très;true;2024-06-25;tant terriblement
5;plouf de;tard;envisager dès que aussitôt que;par rapport à sitôt que;7205;afin de;à seule fin de renaître;à force de hormis moquer;proche de boum;moyennant;plouf;flatter toujours économiser;cot cot hormis tandis que;impromptu;true;clientèle grrr;false;2024-06-25;main-d’œuvre pschitt auprès de
6;sur rectorat;délégation amorphe blablabla;concurrence conseil d’administration raide;tendre peser à défaut de ;10859;désormais rapide;pour désormais administration;considérable areu areu terriblement;chut;croâ depuis;autrement à moins de garder;afin que;prestataire de services hors de;badaboum;true;fourbe perfectionner;false;2024-06-25;parfois svelte
7;également;efficace;favoriser quoique deçà;clientèle guide;31506;au-dehors promouvoir;adepte;commis spécialiste pacifique;précisément;euh plaire à l'instar de;souple sans que cot cot;sans que dans la mesure où population du Québec;dehors;immense;false;avant que conseil d’administration marron;true;2024-06-25;presque en bas de
8;sitôt que de crainte que;vouloir ouch pendant que;équiper;bien que;14055;blablabla vite;pourpre;quoique quelque;délivrer de façon à;vivace;clac antagoniste;recta aussitôt;délégation;combien très;false;comme chut dans la mesure où;false;2024-06-25;porte-parole dehors premièrement
9;commis blablabla vouh;sur;oups ailleurs jeune enfant;d'avec collègue alentour;20450;équipe de recherche miam;employer lorsque;hé parce que;là ouah;large;gestionnaire penser écarter;pendant que tellement;de peur de;lunatique;true;en face de euh trop peu;true;2024-06-25;timide quant à décrocher
10;svelte;deçà;à la merci triathlète énergique;à peu près;16855;quand;géométrique compenser;debout touchant;commis de cuisine;sans que blablabla reconnaître;vu que;collègue;extrêmement communauté étudiante par rapport à;collègue;false;dès que;false;2024-06-25;lier
