id;inscription_demarree_yn;date_demarrage_inscription;inscription_annulee_yn;date_annulation_inscription;apte_yn;date_visite_medicale;beneficiaire_crousyn;date_remise_quitus_crous;nouveau_code_buyn;quitus_buyn;date_remise_quitus_bu;exporter_buyn;frais_obligatoires_payes_yn;date_paiement_frais_obligatoires;numero_quitus_crous;carte_eturemise_yn;carte_dupremise_yn;date_remise_carte_etu;date_remise_carte_dup;inscrit_administrativement_yn;date_inscription_administrative;derniere_modification;inscrit_online_yn;email_user
1;16571;2024-05-18T03:49:00;32034;2024-05-17T19:12:00;16916;2024-05-17T20:32:16;7462;2024-05-18T01:59:24;25446;22557;2024-05-17T18:46:34;17010;21074;2024-05-17T19:28:48;17486;72;28959;2024-05-18T01:55:35;8285;27064;2024-05-17T21:50:15;2024-05-17T20:22:14;26055;beam defenseless zowie
2;26100;2024-05-17T18:18:33;32420;2024-05-17T22:47:28;30994;2024-05-17T19:14:12;18970;2024-05-18T04:01:40;14362;20346;2024-05-17T23:24:00;25822;20273;2024-05-18T07:04:35;23043;27431;13591;2024-05-18T09:01:11;13254;7962;2024-05-17T17:44:46;2024-05-18T09:00:46;29703;psst violet ugh
3;23423;2024-05-18T06:25:17;8582;2024-05-18T12:25:41;3851;2024-05-18T13:42:36;20419;2024-05-18T04:19:38;11496;31718;2024-05-18T10:43:53;21269;21657;2024-05-18T15:49:44;6859;18622;12813;2024-05-18T10:59:40;10261;31268;2024-05-17T20:29:17;2024-05-17T16:54:23;13917;satisfied cashew reclassify
4;12470;2024-05-18T13:00:52;18544;2024-05-18T13:25:10;15888;2024-05-18T00:25:05;5627;2024-05-18T07:40:46;12218;5881;2024-05-18T09:17:10;5443;10112;2024-05-18T11:30:13;5881;6340;7973;2024-05-17T23:22:27;27592;4058;2024-05-18T14:56:07;2024-05-17T20:29:55;1270;but wholly
5;18100;2024-05-18T11:09:52;2650;2024-05-17T20:59:02;3436;2024-05-18T13:05:24;24082;2024-05-17T16:45:47;12535;13580;2024-05-18T09:40:45;9590;7830;2024-05-18T10:12:18;5203;32751;20068;2024-05-18T03:37:19;7908;30789;2024-05-18T15:11:52;2024-05-17T17:24:46;27531;yuck scapegoat
6;1018;2024-05-18T00:05:07;17102;2024-05-18T02:30:35;22775;2024-05-18T01:43:42;2604;2024-05-18T11:11:32;1325;14305;2024-05-17T17:35:30;13736;3851;2024-05-17T20:13:45;8444;22;31750;2024-05-17T20:29:29;181;17072;2024-05-18T11:37:01;2024-05-17T22:01:46;17907;supposing beverage
7;22712;2024-05-17T20:38:27;30940;2024-05-18T09:15:30;7785;2024-05-18T13:51:19;31000;2024-05-18T01:43:45;434;4600;2024-05-18T01:16:24;5998;21603;2024-05-17T20:46:19;109;13217;26405;2024-05-17T19:58:00;14162;31659;2024-05-18T02:40:09;2024-05-18T06:45:20;8349;beef opposite career
8;528;2024-05-18T10:20:20;8433;2024-05-18T12:39:22;26665;2024-05-18T13:43:48;3491;2024-05-18T15:24:15;3995;20314;2024-05-18T02:58:25;19264;28458;2024-05-18T06:06:20;14217;2591;27054;2024-05-17T19:40:42;30225;25637;2024-05-18T09:25:51;2024-05-17T19:55:51;22006;near gratefully
9;6016;2024-05-18T08:09:22;6980;2024-05-18T12:32:22;16828;2024-05-17T17:33:15;2926;2024-05-18T02:07:36;10094;23924;2024-05-18T06:24:46;21099;17077;2024-05-17T21:01:04;28088;1809;12217;2024-05-18T12:35:46;19524;21283;2024-05-18T03:19:30;2024-05-17T21:20:23;26663;bleakly bright an
10;3881;2024-05-18T12:17:28;10797;2024-05-17T17:52:43;32415;2024-05-18T01:10:26;30564;2024-05-17T21:28:00;9188;1860;2024-05-18T01:04:42;23889;21182;2024-05-18T03:25:05;23887;27097;22815;2024-05-18T15:16:55;4264;14012;2024-05-17T17:06:08;2024-05-18T15:49:52;30894;forthright
