id;inscription_demarree_yn;date_demarrage_inscription;inscription_annulee_yn;date_annulation_inscription;apte_yn;date_visite_medicale;beneficiaire_crousyn;date_remise_quitus_crous;nouveau_code_buyn;quitus_buyn;date_remise_quitus_bu;exporter_buyn;frais_obligatoires_payes_yn;date_paiement_frais_obligatoires;numero_quitus_crous;carte_eturemise_yn;carte_dupremise_yn;date_remise_carte_etu;date_remise_carte_dup;inscrit_administrativement_yn;date_inscription_administrative;derniere_modification;inscrit_online_yn;email_user
1;false;2024-06-25T04:58:52;false;2024-06-24T22:02:41;true;2024-06-25T15:16:07;true;2024-06-25T03:12:00;false;true;2024-06-25T19:58:39;false;false;2024-06-25T19:58:34;5021;true;false;2024-06-25T04:29:09;29589;true;2024-06-25T05:06:16;2024-06-25T02:42:38;false;dynamique
2;true;2024-06-25T20:54:22;true;2024-06-25T00:05:37;true;2024-06-25T05:37:24;false;2024-06-25T11:17:30;false;false;2024-06-25T17:39:15;false;true;2024-06-25T11:40:19;16203;false;false;2024-06-24T23:43:09;3122;true;2024-06-25T04:50:13;2024-06-25T15:24:08;false;ouah entreprendre
3;true;2024-06-24T21:28:25;false;2024-06-24T21:55:37;true;2024-06-25T13:37:33;false;2024-06-25T10:06:12;true;false;2024-06-25T11:47:39;true;true;2024-06-25T12:48:44;2519;true;false;2024-06-25T00:05:56;29178;false;2024-06-25T11:01:25;2024-06-25T12:03:36;false;bang splendide super
4;true;2024-06-25T03:41:45;true;2024-06-25T10:39:50;true;2024-06-25T06:17:59;true;2024-06-25T03:43:53;false;true;2024-06-25T15:16:56;true;false;2024-06-25T13:48:15;2839;true;false;2024-06-25T10:35:19;31030;true;2024-06-25T03:38:07;2024-06-25T03:13:38;true;ouille de peur de
5;false;2024-06-25T06:20:50;false;2024-06-25T20:10:42;false;2024-06-25T17:04:26;true;2024-06-25T18:18:18;true;true;2024-06-25T06:45:44;true;true;2024-06-25T03:48:03;22416;false;false;2024-06-25T11:13:16;3458;false;2024-06-25T04:12:46;2024-06-25T20:23:25;false;responsable certainement
6;true;2024-06-25T12:16:08;false;2024-06-25T09:38:50;true;2024-06-25T07:03:56;false;2024-06-25T14:03:30;false;true;2024-06-24T21:59:48;true;false;2024-06-25T03:46:00;6975;true;true;2024-06-25T20:01:31;32248;true;2024-06-25T15:14:58;2024-06-25T14:20:37;false;propre snif rédaction
7;false;2024-06-25T20:25:47;false;2024-06-25T02:31:57;true;2024-06-25T08:45:11;false;2024-06-25T08:39:31;true;false;2024-06-24T21:32:00;true;false;2024-06-25T20:35:48;4530;false;true;2024-06-25T20:08:18;22761;false;2024-06-25T12:01:21;2024-06-25T13:14:17;true;déjeuner quelquefois diviser
8;true;2024-06-25T06:26:41;false;2024-06-25T08:11:16;false;2024-06-25T19:40:17;false;2024-06-25T04:00:11;false;true;2024-06-25T07:54:09;false;false;2024-06-25T01:25:22;25542;true;false;2024-06-25T10:58:27;3043;false;2024-06-25T12:46:53;2024-06-25T02:46:23;false;dessiner euh
9;true;2024-06-25T12:43:03;false;2024-06-25T05:09:27;false;2024-06-25T19:32:41;true;2024-06-25T08:48:32;false;false;2024-06-25T04:29:49;false;false;2024-06-25T20:10:47;29839;true;true;2024-06-25T07:12:14;8055;true;2024-06-25T09:57:49;2024-06-25T06:52:59;true;triste
10;true;2024-06-25T05:35:45;false;2024-06-25T06:39:56;false;2024-06-25T19:37:23;true;2024-06-25T04:58:01;true;false;2024-06-25T05:49:20;true;false;2024-06-25T14:53:58;19832;false;true;2024-06-24T23:43:19;19683;true;2024-06-24T21:25:49;2024-06-25T05:04:49;false;commis
